koolhydraten,vet,kcal,product,eenheid
8.1, 19.2, 257 ,Frisdrank ,1 glas
14, 0, 55 ,"Fritessaus, 25% Olie ",100 gr
11.6, 26, 282 ,"Fritessaus, 35% Olie ",100 gr
12, 36, 372 ,"Frituurvet, Vast ",100 gr
0.3, 99.7, 898 ,"Frituurvet, Vloeibaa ",100 gr
0, 100, 900 ,Fruitcocktail ,100 gr
17, 0, 68 ,Gado Gado ,100 gr
7.8, 12.6, 173 ,Gamba's ,100 gr
0, 7, 137 ,Gans ,100 gr
0, 32, 350 ,Ganzenlever ,100 gr
6, 45.6, 462 ,Garderoom ,100 gr
4, 25, 253 ,Garnalen ,100 gr
0, 2, 90 ,Gebakken Ei ,1 stuk
0, 9, 110 ,Gebonden Soep ,100 gr
3, 2.7, 37 ,Gebraden Rundergehakt ,100 gr
1, 30, 342 ,"Gehaktbal, Half-Om-Half ",1 stuk
8, 15, 250 ,"Gehakt, Gemengd ",100 gr
0, 32, 348 ,Gehakt-Tomatensaus ,100 gr
1.1, 9.7, 138 ,Geitenkaas ,100 gr
2, 17, 205 ,Gekookt Ei ,1 stuk
0.3, 5, 75 ,Gekookte Worst ,100 gr
2, 36, 380 ,Gelatine ,100 gr
0, 7, 235 ,Gember Op Siroop ,100 gr
69, 0, 276 ,"Geraspte Kaas, Volve ",100 gr
0.4, 31.5, 385 ,Gestampte Muisjes ,100 gr
95, 1, 389 ,Gevulde Koek ,1 stuk
37, 11, 260 ,Gevulde Speculaas ,100 gr
52.8, 27, 488 ,Gierst ,100 gr
23.1, 0.3, 109 ,Gorgonzola ,100 gr
0.2, 29.2, 340 ,Goudbrasem ,100 gr
0, 3, 103 ,Goudse Kaas ,100 gr
0, 31.5, 385 ,"Goudse Kaas, 48+ ",100 gr
0, 31.5, 385 ,Goulash ,100 gr
2.5, 11.9, 155 ,Granaatappel ,100 gr
13.7, 0.3, 62 ,"Grapefruit, Op Siroop ",100 gr
15, 0, 64 ,Grapefruitsap ,1 glas
7, 0, 30 ,"Grapefruit, Vers ",100 gr
6.6, 0, 30 ,Griekse Noedels ,100 gr
73, 1.5, 355 ,Griesmeelpap ,100 gr
15, 3, 100 ,Groene Aalbes ,100 gr
8.8, 0.2, 40 ,Groene Erwten ,100 gr
17.2, 0.8, 109 ,Groene Kool ,100 gr
4, 1, 37 ,"Groentesaus, Bloemsa ",100 gr
7, 5.8, 90 ,"Groentesaus, Uit Een ",100 gr
10.6, 1.4, 62 ,Groentespread ,100 gr
4, 0, 20 ,Gruyère ,100 gr
1, 35, 435 ,Guave ,100 gr
17, 0, 72 ,Haas ,100 gr
0, 3, 113 ,Hachee ,100 gr
2.8, 5.6, 89 ,"Hagelslag, Melk ",100 gr
66.4, 15.1, 427 ,"Hagelslag, Puur ",100 gr
59.9, 16.7, 403 ,Halfvolle Koffiemelk ,100 ml
9.8, 4, 100 ,Halvarine ,100 gr
0, 40, 360 ,Hamburger ,1 stuk
2, 13, 190 ,Hamburger Met Broodje ,100 gr
26, 16, 300 ,Ham-Kaassaus ,100 gr
6.2, 12, 174 ,Hamlappen ,100 gr
0, 6.3, 182 ,"Ham, Rauw, Gerookt ",100 gr
6.2, 12, 174 ,Hangop ,100 gr
3.5, 1, 63 ,Haring ,100 gr
0, 25, 297 ,"Haring, Gerookte ",100 gr
0, 19, 259 ,Haring In Tomatensaus ,100 gr
